,Region,Area,Timely sown,Seed,Grain appearance,Hectolitre weight,Protein content,Sedimentation value,Phenol test,Fe content,Zn content,cluster
71,North West Plains Zone (NWPZ),Hisar,Irrigated Late Sown,JKW261*,5.2,79.8,8.6,46.9,7.5,35.6,32.0,0
72,North West Plains Zone (NWPZ),Hisar,Irrigated Late Sown,WH1124 (C),5.4,80.4,9.5,39.6,7.5,34.8,36.0,0
73,North West Plains Zone (NWPZ),Hisar,Irrigated Late Sown,PBW771 (C),5.6,79.8,9.4,34.2,7.5,35.1,44.1,1
74,North West Plains Zone (NWPZ),Hisar,Irrigated Late Sown,HD3059 (C),5.6,80.3,10.5,55.0,8.5,38.0,34.1,0
75,North West Plains Zone (NWPZ),Hisar,Irrigated Late Sown,DBW173 (C),5.6,80.2,9.3,52.7,8.5,34.8,30.8,0
76,North West Plains Zone (NWPZ),Hisar,Irrigated Late Sown,PBW834,5.6,80.4,10.8,54.6,8.5,37.0,35.4,0
77,North West Plains Zone (NWPZ),Delhi,Irrigated Late Sown,JKW261*,5.8,76.6,11.6,48.8,7.5,36.9,42.8,1
78,North West Plains Zone (NWPZ),Delhi,Irrigated Late Sown,WH1124 (C),5.6,76.5,12.6,50.7,7.5,37.2,41.2,1
79,North West Plains Zone (NWPZ),Delhi,Irrigated Late Sown,PBW771 (C),6.2,79.2,12.4,40.0,6.5,37.1,45.0,1
80,North West Plains Zone (NWPZ),Delhi,Irrigated Late Sown,HD3059 (C),6.2,77.1,12.9,53.4,8.0,35.5,37.7,0
81,North West Plains Zone (NWPZ),Delhi,Irrigated Late Sown,DBW173 (C),6.4,78.1,12.4,57.3,7.0,35.6,36.1,0
82,North West Plains Zone (NWPZ),Delhi,Irrigated Late Sown,PBW834,6.2,77.1,13.1,55.0,6.5,39.6,44.7,1
83,North West Plains Zone (NWPZ),Pantnagar,Irrigated Late Sown,JKW261*,5.0,70.4,11.9,57.3,8.0,48.0,30.5,0
84,North West Plains Zone (NWPZ),Pantnagar,Irrigated Late Sown,WH1124 (C),5.2,70.6,11.9,43.8,7.5,49.0,31.1,0
85,North West Plains Zone (NWPZ),Pantnagar,Irrigated Late Sown,PBW771 (C),5.2,71.5,11.9,41.9,6.0,45.2,29.4,0
86,North West Plains Zone (NWPZ),Pantnagar,Irrigated Late Sown,HD3059 (C),5.2,73.1,13.3,65.4,7.0,44.1,29.3,0
87,North West Plains Zone (NWPZ),Pantnagar,Irrigated Late Sown,DBW173 (C),5.2,71.8,12.1,59.6,8.0,42.5,33.6,0
88,North West Plains Zone (NWPZ),Pantnagar,Irrigated Late Sown,PBW834,5.0,71.0,12.4,63.1,7.5,46.7,29.5,0
89,North West Plains Zone (NWPZ),Durgapura,Irrigated Late Sown,JKW261*,6.0,80.2,12.7,55.4,6.5,35.5,23.4,0
90,North West Plains Zone (NWPZ),Durgapura,Irrigated Late Sown,WH1124 (C),6.2,81.1,12.7,58.4,6.5,36.6,27.5,0
91,North West Plains Zone (NWPZ),Durgapura,Irrigated Late Sown,PBW771 (C),6.0,80.5,12.2,53.4,6.0,36.7,27.3,0
92,North West Plains Zone (NWPZ),Durgapura,Irrigated Late Sown,HD3059 (C),6.2,80.8,12.6,40.0,7.0,36.2,28.3,0
93,North West Plains Zone (NWPZ),Durgapura,Irrigated Late Sown,DBW173 (C),6.2,80.8,13.4,48.4,8.0,35.0,27.3,0
94,North West Plains Zone (NWPZ),Durgapura,Irrigated Late Sown,PBW834,6.0,79.9,13.2,48.4,7.0,35.9,29.8,0
95,North West Plains Zone (NWPZ),Ludhiana,Restricted Irrigated Timely Sown,HUW838#*,5.2,79.3,10.9,55.4,7.0,36.0,28.5,0
96,North West Plains Zone (NWPZ),Ludhiana,Restricted Irrigated Timely Sown,DBW296*,5.2,75.9,12.3,58.1,7.5,44.7,29.9,0
97,North West Plains Zone (NWPZ),Ludhiana,Restricted Irrigated Timely Sown,NIAW3170 (C),5.2,75.1,12.6,52.3,7.0,41.1,28.5,0
98,North West Plains Zone (NWPZ),Ludhiana,Restricted Irrigated Timely Sown,HI1628 (C),5.2,78.2,11.3,51.1,8.0,38.3,33.5,0
99,North West Plains Zone (NWPZ),Ludhiana,Restricted Irrigated Timely Sown,WH1142 (C),5.0,77.7,12.3,51.5,8.0,41.0,34.2,0
100,North West Plains Zone (NWPZ),Ludhiana,Restricted Irrigated Timely Sown,HD3043 (C),4.8,77.6,13.0,47.7,7.0,41.2,34.5,0
101,North West Plains Zone (NWPZ),Ludhiana,Restricted Irrigated Timely Sown,PBW644 (C),5.2,77.0,12.0,48.0,7.0,43.1,32.2,0
102,North West Plains Zone (NWPZ),Ludhiana,Restricted Irrigated Timely Sown,NW7096,5.0,77.9,11.7,51.9,6.0,38.4,29.3,0
103,North West Plains Zone (NWPZ),Ludhiana,Restricted Irrigated Timely Sown,DBW321,5.0,75.6,12.4,53.4,6.5,37.6,28.2,0
104,North West Plains Zone (NWPZ),Ludhiana,Restricted Irrigated Timely Sown,K1910,5.4,78.3,12.9,46.5,4.5,41.8,31.8,0
105,North West Plains Zone (NWPZ),Ludhiana,Restricted Irrigated Timely Sown,HI1654,5.2,77.1,11.7,59.2,6.0,38.0,24.1,0
106,North West Plains Zone (NWPZ),Ludhiana,Restricted Irrigated Timely Sown,PBW838,5.2,78.1,11.8,54.6,7.0,39.6,31.2,0
107,North West Plains Zone (NWPZ),Ludhiana,Restricted Irrigated Timely Sown,HD3369,5.2,77.3,11.5,68.8,7.0,41.1,29.7,0
108,North West Plains Zone (NWPZ),Ludhiana,Restricted Irrigated Timely Sown,UP3062,5.2,77.7,11.6,43.0,6.5,38.4,27.8,0
109,North West Plains Zone (NWPZ),Ludhiana,Restricted Irrigated Timely Sown,HD3368,5.2,75.1,12.8,54.2,8.0,37.7,28.2,0
110,North West Plains Zone (NWPZ),Ludhiana,Restricted Irrigated Timely Sown,HI1653,5.0,76.7,12.0,55.4,7.5,41.2,26.7,0
111,North West Plains Zone (NWPZ),Ludhiana,Restricted Irrigated Timely Sown,PBW848,5.2,79.1,12.1,51.1,7.0,37.6,27.6,0
112,North West Plains Zone (NWPZ),Hisar,Restricted Irrigated Timely Sown,HUW838#*,5.0,82.2,8.8,46.5,7.5,36.8,38.5,0
113,North West Plains Zone (NWPZ),Hisar,Restricted Irrigated Timely Sown,DBW296*,5.6,81.8,10.2,52.7,6.5,36.2,41.6,1
114,North West Plains Zone (NWPZ),Hisar,Restricted Irrigated Timely Sown,NIAW3170 (C),5.6,80.2,11.1,47.7,7.0,36.4,44.4,1
115,North West Plains Zone (NWPZ),Hisar,Restricted Irrigated Timely Sown,HI1628 (C),5.2,81.6,8.9,45.7,7.5,31.4,32.8,0
116,North West Plains Zone (NWPZ),Hisar,Restricted Irrigated Timely Sown,WH1142 (C),5.8,81.9,9.9,45.4,8.0,37.6,33.5,0
117,North West Plains Zone (NWPZ),Hisar,Restricted Irrigated Timely Sown,HD3043 (C),6.0,81.9,9.6,41.9,6.5,32.3,41.6,0
118,North West Plains Zone (NWPZ),Hisar,Restricted Irrigated Timely Sown,PBW644 (C),6.2,81.5,9.6,45.7,7.0,36.0,38.5,0
119,North West Plains Zone (NWPZ),Hisar,Restricted Irrigated Timely Sown,NW7096,5.8,81.3,10.4,49.2,7.5,36.9,45.4,1
120,North West Plains Zone (NWPZ),Hisar,Restricted Irrigated Timely Sown,DBW321,5.8,81.4,9.6,53.1,7.5,32.9,31.4,0
121,North West Plains Zone (NWPZ),Hisar,Restricted Irrigated Timely Sown,K1910,6.2,83.0,9.9,41.9,3.0,34.2,39.4,0
122,North West Plains Zone (NWPZ),Hisar,Restricted Irrigated Timely Sown,HI1654,5.4,82.0,9.7,51.5,8.5,37.1,39.3,0
123,North West Plains Zone (NWPZ),Hisar,Restricted Irrigated Timely Sown,PBW838,5.2,82.1,9.6,51.1,8.0,34.6,37.8,0
124,North West Plains Zone (NWPZ),Hisar,Restricted Irrigated Timely Sown,HD3369,5.8,81.9,10.0,63.1,7.0,37.1,36.9,0
125,North West Plains Zone (NWPZ),Hisar,Restricted Irrigated Timely Sown,UP3062,5.6,81.8,8.8,34.2,7.5,32.7,35.6,0
126,North West Plains Zone (NWPZ),Hisar,Restricted Irrigated Timely Sown,HD3368,5.6,79.4,9.5,51.5,8.5,34.6,37.0,0
127,North West Plains Zone (NWPZ),Hisar,Restricted Irrigated Timely Sown,HI1653,5.4,80.0,10.0,61.5,7.5,33.0,33.3,0
128,North West Plains Zone (NWPZ),Hisar,Restricted Irrigated Timely Sown,PBW848,5.6,82.2,10.6,50.0,7.0,32.6,40.0,0
129,North West Plains Zone (NWPZ),Delhi,Restricted Irrigated Timely Sown,HUW838#*,5.2,74.2,13.7,63.8,8.0,39.0,55.8,1
130,North West Plains Zone (NWPZ),Delhi,Restricted Irrigated Timely Sown,DBW296*,5.2,75.6,13.4,67.3,8.5,42.9,56.5,1
131,North West Plains Zone (NWPZ),Delhi,Restricted Irrigated Timely Sown,NIAW3170 (C),5.0,73.4,14.7,57.3,8.5,40.7,52.4,1
132,North West Plains Zone (NWPZ),Delhi,Restricted Irrigated Timely Sown,HI1628 (C),5.4,73.5,14.0,59.2,8.5,39.7,55.8,1
