,Region,Area,Timely sown,Seed,Grain appearance,Hectolitre weight,Protein content,Sedimentation value,Phenol test,Fe content,Zn content,cluster
102,Central Zone (CZ),Junagarh,Restricted Irrigated Timely Sown,HI8627(d) (C),7.2,80.8,14.1,26.5,0.0,42.3,54.3,0
103,Central Zone (CZ),Junagarh,Restricted Irrigated Timely Sown,UAS475(d),7.0,82.4,12.3,30.3,0.0,38.7,52.7,0
104,Central Zone (CZ),Junagarh,Restricted Irrigated Timely Sown,HI8830(d),7.8,82.3,12.8,30.0,0.0,39.7,50.8,0
105,Central Zone (CZ),Junagarh,Restricted Irrigated Timely Sown,DDW55(d),8.0,83.5,13.8,32.6,0.0,43.5,61.2,0
106,Central Zone (CZ),P.Kheda,Restricted Irrigated Timely Sown,DBW110 (C),6.6,82.2,8.9,48.4,8.0,33.1,32.0,1
107,Central Zone (CZ),P.Kheda,Restricted Irrigated Timely Sown,MP3288 (C),6.8,82.1,11.5,44.6,8.0,38.4,28.5,1
108,Central Zone (CZ),P.Kheda,Restricted Irrigated Timely Sown,GW528,7.2,83.2,9.8,45.7,9.0,41.0,33.9,1
109,Central Zone (CZ),P.Kheda,Restricted Irrigated Timely Sown,DBW326,7.2,81.5,8.7,41.9,8.0,32.2,28.1,1
110,Central Zone (CZ),P.Kheda,Restricted Irrigated Timely Sown,NIAW3851,7.2,81.1,9.0,43.4,7.5,36.6,29.3,1
111,Central Zone (CZ),P.Kheda,Restricted Irrigated Timely Sown,CG1036,7.2,83.5,9.7,44.6,5.0,38.6,29.9,1
112,Central Zone (CZ),P.Kheda,Restricted Irrigated Timely Sown,HI1655,7.2,81.6,10.6,40.7,8.0,35.0,26.4,1
113,Central Zone (CZ),P.Kheda,Restricted Irrigated Timely Sown,HI8823(d)*,6.6,85.6,9.3,36.9,0.0,33.6,32.4,1
114,Central Zone (CZ),P.Kheda,Restricted Irrigated Timely Sown,DDW47(d) (C),6.6,83.0,9.1,34.2,0.0,35.9,33.5,1
115,Central Zone (CZ),P.Kheda,Restricted Irrigated Timely Sown,HI8627(d) (C),5.6,83.7,8.2,28.4,0.0,33.6,32.0,1
116,Central Zone (CZ),P.Kheda,Restricted Irrigated Timely Sown,UAS475(d),5.6,83.4,8.3,36.1,0.0,34.9,30.7,1
117,Central Zone (CZ),P.Kheda,Restricted Irrigated Timely Sown,HI8830(d),7.0,83.5,9.8,29.2,0.0,32.8,27.7,1
118,Central Zone (CZ),P.Kheda,Restricted Irrigated Timely Sown,DDW55(d),6.8,85.5,8.6,36.1,0.0,37.2,35.9,1
119,Central Zone (CZ),Indore,Restricted Irrigated Timely Sown,DBW110 (C),5.2,81.2,9.1,48.0,7.0,37.6,32.0,1
120,Central Zone (CZ),Indore,Restricted Irrigated Timely Sown,MP3288 (C),5.4,83.0,9.4,45.7,7.5,37.7,32.8,1
121,Central Zone (CZ),Indore,Restricted Irrigated Timely Sown,GW528,6.8,83.8,10.1,41.9,8.0,42.9,43.5,0
122,Central Zone (CZ),Indore,Restricted Irrigated Timely Sown,DBW326,6.8,80.6,10.4,43.8,7.5,39.3,43.1,0
123,Central Zone (CZ),Indore,Restricted Irrigated Timely Sown,NIAW3851,7.2,80.6,9.4,41.9,6.5,37.9,32.8,1
124,Central Zone (CZ),Indore,Restricted Irrigated Timely Sown,CG1036,7.0,84.4,9.2,41.1,4.0,38.6,31.8,1
125,Central Zone (CZ),Indore,Restricted Irrigated Timely Sown,HI1655,6.8,81.8,9.8,41.1,7.0,40.6,43.6,0
126,Central Zone (CZ),Indore,Restricted Irrigated Timely Sown,HI8823(d)*,7.0,85.3,10.1,36.1,0.0,36.8,38.1,1
127,Central Zone (CZ),Indore,Restricted Irrigated Timely Sown,DDW47(d) (C),6.8,83.6,9.9,34.2,0.0,40.0,37.5,1
128,Central Zone (CZ),Indore,Restricted Irrigated Timely Sown,HI8627(d) (C),6.4,84.4,10.8,29.2,0.0,38.4,40.5,1
129,Central Zone (CZ),Indore,Restricted Irrigated Timely Sown,UAS475(d),5.6,82.5,9.3,43.0,0.0,36.4,34.4,1
130,Central Zone (CZ),Indore,Restricted Irrigated Timely Sown,HI8830(d),6.0,83.7,8.9,31.1,0.0,40.3,37.2,1
131,Central Zone (CZ),Indore,Restricted Irrigated Timely Sown,DDW55(d),6.0,85.4,9.5,35.3,0.0,34.5,34.9,1
