,Region,Area,Timely sown,Seed,Grain appearance,Hectolitre weight,Protein content,Sedimentation value,Phenol test,Fe content,Zn content,cluster
123,North East Plains Zone (NEPZ),Sabour,Restricted Irrigated Timely Sown,PBW848#,6.0,78.5,8.2,41.9,6.5,32.0,31.7,0
124,North East Plains Zone (NEPZ),Sabour,Restricted Irrigated Timely Sown,HD3369#,6.0,79.5,9.0,53.8,6.0,34.1,32.3,0
125,North East Plains Zone (NEPZ),Sabour,Restricted Irrigated Timely Sown,UP3062,5.6,80.3,8.4,32.6,7.0,28.1,24.9,0
126,North East Plains Zone (NEPZ),Varanasi,Restricted Irrigated Timely Sown,HI1612 (C),5.4,78.7,10.4,50.7,8.5,37.9,32.2,0
127,North East Plains Zone (NEPZ),Varanasi,Restricted Irrigated Timely Sown,DBW252 (C),5.4,79.9,9.9,45.7,7.5,39.4,31.6,0
128,North East Plains Zone (NEPZ),Varanasi,Restricted Irrigated Timely Sown,HD3293(I) (C),5.8,75.6,10.2,47.7,8.0,38.5,29.8,0
129,North East Plains Zone (NEPZ),Varanasi,Restricted Irrigated Timely Sown,HD3171 (C),6.0,78.8,10.5,51.1,7.5,44.1,36.9,0
130,North East Plains Zone (NEPZ),Varanasi,Restricted Irrigated Timely Sown,K1317 (C),6.4,81.0,10.5,43.4,2.0,39.6,36.2,0
131,North East Plains Zone (NEPZ),Varanasi,Restricted Irrigated Timely Sown,HI1653,5.8,78.9,10.0,48.8,8.5,38.0,32.2,0
132,North East Plains Zone (NEPZ),Varanasi,Restricted Irrigated Timely Sown,DBW322,5.6,77.9,9.7,44.6,8.5,38.7,33.4,0
133,North East Plains Zone (NEPZ),Varanasi,Restricted Irrigated Timely Sown,DBW321,5.4,77.6,10.1,47.3,8.5,40.1,37.9,0
134,North East Plains Zone (NEPZ),Varanasi,Restricted Irrigated Timely Sown,HD3368#,5.6,76.3,9.3,45.7,8.0,35.2,30.3,0
135,North East Plains Zone (NEPZ),Varanasi,Restricted Irrigated Timely Sown,HI1654,5.8,79.0,10.9,49.6,8.0,41.5,34.4,0
136,North East Plains Zone (NEPZ),Varanasi,Restricted Irrigated Timely Sown,WH1281,5.4,77.4,9.0,45.0,8.0,39.8,29.7,0
137,North East Plains Zone (NEPZ),Varanasi,Restricted Irrigated Timely Sown,PBW848#,5.4,79.9,8.7,40.7,7.5,38.4,30.6,0
138,North East Plains Zone (NEPZ),Varanasi,Restricted Irrigated Timely Sown,HD3369#,5.8,78.3,10.5,49.2,8.0,37.3,36.1,0
139,North East Plains Zone (NEPZ),Varanasi,Restricted Irrigated Timely Sown,UP3062,5.0,78.4,10.7,39.2,8.5,36.9,34.9,0
